Unigrams,Freq
ölümden,33
beter,13
borçsuzluğuyla,1
övünür,1
kedisi,12
doğurmaz,1
yeri,73
yoktur,71
kapısına,4
döner,74
mezarları,4
heykeli,3
ikisinin,3
saksılarında,2
renkle,3
solar,11
öbürüyse,1
ha,99
açtı,39
açmayacak,1
elimde,70
üç,191
tekerlekli,2
kırmızı,153
bisiklet,7
hacıbayram’da,1
denizsiz,6
ada’nın,1
kıyılarında,12
görünmez,23
arkadaşlarım,6
işim,15
rüya’da,3
kere,121
yeşil,156
değildi,60
başkentti,1
ada,18
karpuz,11
çıkmadı,5
yordu,2
alemdağ,2
ormanında,8
kayboldum,2
arıyordu,6
oluyordu,14
korkuyordum,2
ormanı,16
kayboluşum,2
öylece,52
kayboldu,14
resimde,2
toplanıldı,1
bilmeden,33
birer,160
dağınıldı,1
buldu,21
arayanlar,1
silindiler,1
resimden,2
orda,81
orman,56
kaybolsam,4
resmi,17
yakıp,26
onları,92
bulsam,14
hepsinin,13
gelmesini,6
bekleme,18
alışmayasın,1
korkmayasın,1
düşünesin,2
kendine,146
yetmen,1
herkesin,37
kendinden,35
kaçacağı,1
yerlerde,29
kaçmayasın,1
gelenler,9
gitmeyecekmiş,1
doğumlarda,1
ölümlerde,5
duyasın,1
bildiğini,5
bildirmek,2
bilmeme'yi,1
öğrenmelisin,1
kalasın,2
olasın,3
ölebilirim,3
yaşımda,7
şiirlerimi,17
söylemeden,9
götürebilirim,1
kavakyelleri,1
esiyorken,2
başımda,37
sevgilim,174
düşündürebilirim,1
rüzgâr,138
i̇sterim,6
dağılsın,6
hemen,83
düşüncelere,4
dalmalısın,1
der,77
demez,5
çarpmalı,2
dememe,1
kalmadan,9
uyanmalısın,1
iı,1
başında,101
önde,10
gider,188
ayrım,1
yarısı,55
dünde,4
bölüşür,2
yaşanmışlar,1
yaşanmakta,2
olanı,19
anılarla,14
umutlar,75
barışık,8
yönde,7
ân,8
dönemeç,3
belirir,8
dengesini,3
yitirir,7
gecelerle,5
gündüzler,10
yalanlara,5
dönüşür,10
korkular,17
sıcaklığını,17
keser,20
duygular,26
düşünceler,20
tükenen,10
sevilerin,1
alışkanlıklarında,1
donuklaşan,1
ışıklar,48
yanıp,27
söner,14
karanlığı,63
emzirir,8
yığın,17
gölgeler,43
can,357
ateşi,61
soluk,72
bebeklerine,4
tüner,2
kanat,76
çarpar,16
yorulmuş,8
kuş,237
i̇nişinin,1
kararan,5
havalarından,1
düşer,117
yolunu,51
zamansız,43
beklemezken,1
kapını,11
ansız,4
öncesinde,2
bilinmemiş,2
silinmez,10
ses,199
giden,145
kelimelerden,5
kelimelerin,38
yaşamalar’ın,1
kaçamaklı,1
veriliş,1
rengi,140
alınış,1
söylemeye,11
vakit,106
dudakların,29
altına,48
bırakılmış,21
karanlıkların,8
gözlerce,1
pırıl,72
ellerce,2
kıyısında,64
bakışlarla,6
yüklü,47
söylemelerle,1
dolu,215
arandıkça,1
bulunmamış,2
yıllar,107
yılı,19
bulundukça,1
aramaklı,1
seven,42
sevilenin,3
boy,31
aynasıdır,1
aynaya,15
bakmasıdır,1
vereceğim,8
ödülün,1
olmamalı,6
kahpelikte,1
kader,52
gülmemeli,1
yalanların,3
döküldüğü,4
i̇nanan,1
olmalısın,8
aldattığın,1
sevgi,183
yüreğinden,19
çıkmamalı,1
sökmeye,2
çalışsan,1
avuçlarında,40
sızısı,10
kalmalı,10
endişe,5
demin,9
yanımızda,11
soyunan,5
kimdi,19
bakıyorlar,10
gözleriyle,24
sorarak,1
i̇çlerini,1
müthiş,16
merak,38
ramettik,1
güzeli,22
kendimize,18
kadın,242
yaklaştı,5
gülerek,13
bize,181
seyrettik,3
yüzünün,24
çizgilerini,2
anlatmak,30
istedi,12
kederini,4
nemliydi,1
yüzü,82
hazindi,1
suda,37
hafifliyen,1
eşya,15
yığını,12
bulur,42
aynalarda,24
tesellisini,2
hisseder,2
analar,12
yalnızlığını,17
sabreder,1
çıkarmaz,2
aynaların,15
iç,82
yalnızlığı,40
bitmiyor,9
gidilecek,3
yerlerimiz,2
su,387
sohbetinizi,1
dinler,17
gideriz,20
coştukça,1
şarkılar,90
türkülar,1
sazlar,6
rakı,14
şarap,22
içer,25
geçse,17
umudun,49
yazı,35
gözlerde,20
kalıyor,39
yaşanmış,17
izi,57
kınamaz,1
varsa,170
hesabı,12
öder,2
söyleyecek,6
sözü,44
anlatsın,9
i̇sterse,4
katsın,1
yeter,88
bizden,48
etsin,7
doğruyu,8
sezer,5
neler,65
gördük,10
güne,88
